600
0 599
0 1 1988780131
0 4 2039146207
0 5 870743891
0 6 1255905860
0 11 1149874893
0 12 1081825831
0 13 2081113207
0 14 292000654
0 15 1705246706
0 17 37150816
0 19 1695723059
0 20 894341635
0 21 640122066
0 24 671038958
0 26 656576640
0 28 430578327
0 29 914093092
0 31 1565570821
0 32 1158449759
0 35 384325496
0 36 2060549883
0 41 1970998234
0 44 1066055050
0 46 178071684
0 48 742302466
0 49 2048130023
0 59 933262693
0 60 1520369782
0 63 966074334
0 65 1197575550
0 67 743892141
0 68 1003677462
0 69 940628667
0 71 355807075
0 75 2111628817
0 76 405751187
0 83 1419578752
0 84 57308309
0 85 793601882
0 86 872393096
0 87 1370667574
0 94 1962490511
0 95 1139364723
0 97 744488941
0 99 147443567
0 100 1935557219
0 110 1460608690
0 111 947535223
0 112 1422417087
0 114 1906930439
0 115 289218696
0 118 1689650465
0 120 1361205771
0 121 974298753
0 127 1508799460
0 128 265801178
0 129 188835960
0 130 793499173
0 131 267212677
0 132 323736513
0 133 671032852
0 135 1902163008
0 137 1585192753
0 139 290780378
0 140 1919790508
0 145 1753398245
0 149 1359306733
0 150 1645225142
0 152 1309121135
0 153 1186627232
0 158 1033281167
0 161 1269819857
0 165 109020025
0 168 871176988
0 170 1016578745
0 173 782371770
0 177 2032724412
0 179 555627344
0 180 703433129
0 183 249120713
0 184 1938920910
0 185 1494709871
0 186 822993020
0 189 610451862
0 191 956903269
0 198 261160710
0 199 1954839783
0 200 1548123104
0 205 1045876709
0 206 1276065158
0 207 761868355
0 208 907572362
0 210 1443264827
0 216 1956226491
0 217 710588107
0 218 1153145877
0 219 122560056
0 220 480537152
0 221 1586611290
0 223 1222297525
0 225 304422852
0 227 1853080753
0 228 2072942603
0 234 1239032973
0 236 572750234
0 239 1859441651
0 241 1034306152
0 243 312129317
0 246 1142083078
0 247 1114992786
0 248 148088119
0 249 1273996797
0 251 1060911418
0 253 993058706
0 254 1245872146
0 255 1646306779
0 257 2126721566
0 259 406198878
0 263 364904648
0 265 445093245
0 268 559251301
0 269 615054707
0 270 98737073
0 272 1459493001
0 275 305486771
0 279 1387314816
0 281 1860931980
0 283 219889630
0 284 693032033
0 285 1696655783
0 286 1761570272
0 287 1660330910
0 288 421960557
0 292 1366773273
0 293 354897269
0 294 1377063103
0 296 1795171463
0 302 1274588113
0 303 119931337
0 304 1332952689
0 306 950903624
0 307 1072664557
0 313 1444525087
0 315 1969160471
0 317 618466799
0 324 874857671
0 328 21706534
0 329 702375137
0 330 1722484276
0 331 1687814847
0 332 1801193637
0 333 522424660
0 334 69094912
0 335 1378101272
0 336 1879455215
0 339 846581604
0 341 1760396811
0 343 1197407144
0 344 1390755464
0 346 46234286
0 349 1836753672
0 350 181066597
0 353 1321244040
0 355 2066840260
0 356 26090243
0 358 1679328654
0 360 1636513256
0 361 386047832
0 363 59108587
0 366 81872659
0 368 1705497791
0 372 858973947
0 373 681647934
0 374 1026159045
0 375 148429022
0 377 26378532
0 378 1530694045
0 379 848048360
0 383 984193478
0 386 1354373118
0 387 810101858
0 393 1815594001
0 394 1984037946
0 395 417080447
0 396 1525370982
0 397 1860740873
0 399 574256087
0 401 765546044
0 402 1706005546
0 411 1668666912
0 418 450612028
0 419 43014032
0 420 1685883433
0 421 788899587
0 422 908944744
0 423 605157823
0 425 2096808204
0 426 1628957727
0 428 1587298805
0 429 184269873
0 430 1202109029
0 431 2068856915
0 434 1596290694
0 435 475731613
0 437 55761590
0 438 1435929403
0 441 93954241
0 443 1114458750
0 445 1985210820
0 447 1367424496
0 448 1889553221
0 453 112487963
0 454 2039472419
0 455 1260031845
0 456 1423487715
0 459 1178298190
0 460 1802641006
0 464 1400618561
0 465 96549208
0 466 650753542
0 468 1820164270
0 469 932231867
