700
0 699
0 4 1719050707
0 5 942728356
0 6 1844727016
0 11 207822665
0 12 318408606
0 14 637944323
0 16 1060923420
0 17 357963203
0 22 398523122
0 24 1458457669
0 27 1946244914
0 28 1150486425
0 31 1632203897
0 32 618826872
0 34 1458420420
0 37 351028930
0 39 769199671
0 42 652027026
0 45 1619049962
0 49 542540987
0 54 148626783
0 55 21531807
0 56 266363447
0 60 1803579039
0 61 1027551640
0 65 860965642
0 66 574336792
0 68 1323173298
0 69 621897742
0 70 659439151
0 72 905840046
0 75 438485963
0 76 1829056118
0 77 412918123
0 81 678232938
0 84 207033232
0 89 1221659803
0 90 1737351841
0 95 1872645004
0 98 2126349913
0 100 2141959906
0 101 1027736570
0 104 1329060876
0 105 608183017
0 111 1459856969
0 113 1959883920
0 114 1927925600
0 115 1856824491
0 117 627579785
0 120 1632271025
0 125 640721133
0 126 320859119
0 127 922517239
0 132 1284781651
0 135 546607852
0 136 2012026612
0 142 1393028609
0 143 1890996044
0 146 1386904378
0 149 1479980181
0 151 1794974988
0 158 733285217
0 161 1030356201
0 163 1862413313
0 164 1256802460
0 168 773931811
0 169 1438801876
0 170 1730426593
0 174 288962976
0 175 1997740478
0 179 545454892
0 182 280532935
0 185 1787211833
0 188 1932152433
0 190 27238362
0 191 843871401
0 192 448243529
0 193 976002598
0 195 1691655585
0 196 2073430533
0 197 1201042881
0 200 1841573373
0 201 181356813
0 203 1171517732
0 205 487155757
0 206 631404068
0 208 301339888
0 209 399667032
0 212 994006698
0 216 246161293
0 218 1371674879
0 219 1839435072
0 220 908719839
0 225 1155866452
0 226 1916256674
0 228 435940180
0 235 1591073560
0 237 661373301
0 240 737222185
0 242 1955305041
0 247 1953305800
0 248 1507062608
0 250 1438165831
0 254 818187239
0 257 865912182
0 258 1398546145
0 262 917692595
0 269 1094732269
0 271 985631928
0 276 46749938
0 277 934794644
0 278 299951013
0 279 1604587733
0 280 1982000454
0 282 1685909170
0 291 636397632
0 293 254400407
0 296 884298886
0 299 212942912
0 300 970257380
0 301 1552217678
0 302 18782828
0 303 1773580012
0 305 488268241
0 306 2143425565
0 307 1933834584
0 311 847729037
0 312 1350562289
0 316 1161867282
0 317 1104648495
0 323 1373832254
0 326 1020785715
0 328 238926825
0 335 875873003
0 337 1720568681
0 338 1675313194
0 339 191236670
0 347 685239108
0 349 1036759595
0 350 1263293262
0 352 1236396712
0 353 1851425054
0 356 1772550732
0 359 1241627325
0 364 2090791040
0 366 1230375728
0 367 483216536
0 369 233762410
0 371 1118766035
0 372 986395944
0 373 1918222372
0 375 142252252
0 377 494623404
0 378 191528695
0 379 2017603888
0 382 1448465548
0 384 1688676832
0 385 507180287
0 387 1608456689
0 388 60641905
0 389 1523474134
0 390 951436968
0 391 479658682
0 395 1727242267
0 397 1770663865
0 408 950146006
0 410 1513667043
0 412 1301190401
0 414 731488223
0 416 1366506351
0 420 429392664
0 421 1924662174
0 423 483662733
0 424 1591081976
0 426 457282605
0 427 1379289004
0 430 1104348931
0 432 1011888708
0 433 80583668
0 436 629005894
0 439 1400548271
0 440 2024449188
0 445 1752207712
0 446 1424118972
0 451 449291951
0 454 1367563038
0 456 478553914
0 457 1120612260
0 460 389227930
0 461 132249035
0 462 914117320
0 466 484525943
0 467 760420089
0 468 654609812
0 470 1895612633
0 474 1310983267
0 476 255114658
0 479 904762363
0 482 1863864119
0 484 1544460286
0 488 495527997
0 490 387170027
0 496 1023363600
0 498 87750115
0 499 150011106
0 501 2095237050
0 504 1842426003
0 509 126213978
0 510 1702810416
0 512 977254622
0 515 620608389
0 517 1235121640
0 519 1613535500
0 522 1714623144
0 526 585251508
0 527 1535249489
0 528 1066444180
0 531 94929822
0 532 1371019353
0 535 319337063
0 538 455234622
0 539 138668589
0 543 332128071
0 544 1718826323
0 546 1872063719
0 549 728889393
0 551 1064353650
0 552 422466445
0 553 62610177
0 556 1292840572
0 558 683055198
0 563 1163352426
0 568 1990463574
0 570 277420373
0 571 395115900
0 572 519482336
0 573 1933530069
0 574 1582570941
0 578 2044547345
0 579 776766333
0 580 1025611608
0 581 1412372332
0 582 2129389062
0 585 673471254
0 586 1459025714
0 588 756782920
0 589 138406710
0 593 1178459121
0 594 208896358
0 595 770770529
0 596 256329824
0 598 441564701
0 599 628997870
0 604 1075346863
0 605 85030266
0 609 1956026049
0 610 1273190184
0 613 454013224
0 617 695809038
0 618 1015308414
0 619 1763752267
0 622 1992834698
0 628 989124128
0 629 273432989
0 630 1907130124
0 634 340461175
0 636 1141625473
0 644 1168610269
0 645 363052227
0 646 546250767
0 650 732210939
0 652 1481621293
0 653 1031265170
0 654 1458017837
0 655 816469537
0 663 93694768
0 664 727840644
0 665 1152534583
0 679 48903224
0 680 505889005
0 681 641254916
0 682 279121462
0 686 234951513
0 689 1190421760
0 690 2111766216
0 691 1863340967
0 692 726400092
0 693 842551285
0 696 165379464
0 698 1054144124
1 2 1960747802
1 3 1301899184
1 6 539718974
1 7 2089574533
1 8 2008476311
1 9 163876274
1 11 1454042076
1 12 945349983
1 13 497871429
1 25 779647033
1 26 1495633097
1 29 1978654256
1 31 1005343904
1 33 995650192
1 35 1987291846
1 37 925450641
1 39 383598549
1 41 1490162751
1 42 843684502
1 50 1658703863
1 53 226448912
1 54 1717919809
1 55 483331649
1 56 2089283975
1 57 2000836138
1 58 1628058691
1 60 1124529748
1 62 2104619542
1 66 1645110077
1 67 1919821608
1 70 15370587
1 74 896130385
1 75 1724443174
1 77 935451368
1 78 1709065171
1 79 1911758888
1 80 1041626147
1 88 623430491
1 89 1742421131
1 91 697859189
1 92 1446147394
1 95 219434998
1 97 961514842
1 100 1831857272
1 101 1731514516
1 102 541302690
1 104 8948371
1 106 2123217902
1 107 1395014765
1 111 2107087
1 112 1321001369
1 118 1333495362
1 119 1887717154
1 121 622366089
1 126 1583865424
1 127 1430942757
1 129 1245837352
1 130 924605833
1 131 462692252
1 132 1372062914
1 134 1914050058
1 139 1190621170
1 143 858789166
1 144 2038021166
1 145 1797871288
1 152 714666576
1 161 799024950
1 162 2009740492
1 164 205473698
1 166 1854044172
1 169 1367372186
1 172 20742083
1 173 1814409544
1 174 513253338
1 175 1362797758
1 176 717172490
1 187 2114529217
1 191 1004968787
1 193 109158259
1 196 888398228
1 198 247260378
1 200 1662641774
1 202 410684704
1 204 272279570
1 205 1675637650
1 207 478070304
1 208 1781828533
1 210 1142754353
1 211 27148463
1 214 1287983680
1 216 1356888539
1 219 1865986224
1 221 1916260648
1 225 836381846
1 228 246361703
1 232 1753433361
1 234 940243246
1 236 449445770
1 238 62316406
1 239 1849197866
1 241 2093119814
1 246 1417528622
1 248 601003461
1 249 1104801837
1 250 283749398
1 251 325265660
1 252 1557352535
1 254 1371256319
1 255 1598446920
1 262 1073401762
1 271 981095876
1 272 2056083901
1 274 1558919092
1 275 352334625
1 279 249825935
1 285 438444457
1 286 1791799414
1 296 1309054354
1 300 1749792755
1 302 403469544
1 304 619206456
1 305 739279545
1 307 28909815
1 310 1917732631
1 311 1222391750
1 314 696880526
1 318 220626432
1 319 1258037946
1 326 840588326
1 334 1246606966
1 335 1292728443
1 336 976674454
1 337 667160416
1 338 55497469
1 346 400750754
1 347 1765442667
1 357 2033346427
1 361 1790901370
1 362 308911918
1 365 687845022
1 368 1519429591
1 370 786181065
1 372 538882297
1 377 950741820
1 381 989579798
1 382 229880700
1 387 1507213198
1 388 1050145224
1 389 316502780
1 391 2010057095
1 392 884337987
1 394 700425975
1 396 72574001
1 397 1487281678
1 398 1056333915
1 401 457633765
1 402 1528181768
1 403 98686805
1 409 223414217
1 411 1283663371
1 414 812001159
1 415 1053193046
1 419 983588276
1 427 961377301
1 430 2051313558
1 432 501219898
1 438 787275852
1 440 1750729739
1 441 760353617
1 447 845665076
1 450 842799942
1 451 929314681
1 454 1608395346
1 455 867354010
1 456 1073939683
1 459 15517086
1 461 41551869
1 466 918568927
1 467 927970120
1 475 459356761
1 477 177173334
1 484 183845318
1 485 588001772
1 486 1562982134
1 488 1743468392
1 489 784980977
1 491 2099656706
1 493 1990933365
1 495 1828412969
1 499 568352144
1 501 1885926751
1 508 2045410438
1 509 1858549933
1 510 1758832674
1 511 1920837351
1 512 1121380732
1 515 884153182
1 516 939149456
1 519 2047066364
1 520 314701303
1 523 643952318
1 525 1515423592
1 528 1708559907
1 534 1364460689
1 545 52798687
1 547 483287479
1 549 564974920
1 554 1032005463
1 556 2107592426
1 559 1145797479
1 561 596957403
1 565 1805225968
1 571 710027842
1 572 1721507951
1 574 172705175
1 576 1559846358
1 577 1674423077
1 581 710223829
1 582 663288037
1 586 2137144621
1 587 1772945677
1 591 2049011579
1 593 790278572
1 596 1432374335
1 600 1049673046
1 605 1903398636
1 606 1540599757
1 607 2039437714
1 608 1347783717
1 609 1783598137
1 612 77569312
1 615 729106966
1 616 2121966099
1 618 1191538366
1 620 1374010114
1 622 1966642594
1 624 1866189486
1 625 594887465
1 627 964316262
1 630 1928475794
1 631 1800157166
1 634 1107398223
1 636 1244667569
1 638 1645409624
1 644 1854334177
1 645 424198092
1 649 154077908
1 652 1948083554
1 654 596955897
1 657 665928664
1 659 1115340069
1 662 2059698905
1 665 389279428
1 667 2000241544
1 668 1579948732
1 669 1849811675
1 670 787498718
1 675 356738324
1 676 956743535
1 677 717530860
1 678 280320104
1 679 513149666
1 683 1247333455
1 684 1478833035
1 689 1011232643
1 690 650253725
1 691 224852695
1 695 1422295739
1 696 1754187247
1 699 1631877229
2 3 804619491
2 7 1497942328
2 12 491149619
2 13 746419459
2 16 41185276
2 19 1695201324
2 22 759151895
2 23 1901407407
2 25 1690660267
